id,title,avgscore,backCateName,areaname,avgprice,comments
1901500512,楠火锅（爱琴海店）,5.0,重庆火锅,龙柏地区,146.0,154
160247917,七欣天（上海亿丰时代广场店）,5.0,海鲜火锅,三林地区,115.0,575
194840946,井格重庆火锅（金山万达店）,5.0,重庆火锅,金山万达,102.0,7242
1681653630,欢乐牧场自助餐（马桥店）,5.0,综合自助,闵行开发区,83.0,1773
193752344,如一鸡鲍鱼·粤式煲汤（旭辉广场店）,5.0,海鲜火锅,洋泾,118.0,119
1119111637,大龙燚火锅（江桥万达店）,5.0,四川火锅,江桥,121.0,360
727468835,汤伯府·骨汤猪肚鸡火锅（宝杨宝龙广场店）,5.0,猪肚鸡火锅,宝山城区/吴淞,116.0,98
1653626457,传世南门涮肉（徐家汇店）,5.0,老北京火锅,徐家汇,117.0,36
1869989503,京悦南门涮羊肉·羊蝎子（仙霞路店）,5.0,老北京火锅,古北/仙霞新村,103.0,122
781424711,海底捞火锅（崇明万达广场店）,5.0,四川火锅,南门,122.0,217
122714176,巡鱼记酸菜鱼（上坤上街店）,5.0,鱼火锅,美兰湖,94.0,462
724788278,海底捞火锅（静安大悦城店）,5.0,四川火锅,苏河湾,134.0,61
1267125448,龍二烧肉酒场（九亭店）,5.0,日式烧烤/烤肉,九亭,169.0,106
584823109,杜老哥大刀腰片市井火锅（宝龙旭辉广场店）,5.0,重庆火锅,平凉路/东外滩,101.0,84
575972226,杨氏南门涮肉（889广场店）,5.0,老北京火锅,曹家渡,109.0,27
1240201295,老朴家铁锅炖（长海路店）,5.0,东北菜,五角场/大学区,93.0,170
1554839342,七欣天（浦东360广场店）,5.0,海鲜火锅,康桥/周浦,131.0,496
1634936212,金牛白羊潮汕鲜牛肉火锅（周浦店）,5.0,潮汕牛肉火锅,康桥/周浦,99.0,105
1964722086,渝火焱重庆老火锅（安亭店）,5.0,四川火锅,安亭镇,86.0,142
1748949645,锡林阿玛冰煮羊（三钢里店）,5.0,牛羊肉火锅,上南地区,85.0,59
1333145492,红料理｜串串有瘾（松江地中海店）,5.0,串串香,开元地中海,79.0,83
1354836303,渝火焱重庆老火锅（江桥店）,5.0,重庆火锅,江桥,78.0,259
1406377338,七欣天品蟹轩（浦东金谊广场店）,5.0,海鲜火锅,世博园,120.0,145
1549037579,红料理｜串串有瘾（共康店）,5.0,串串香,庙行/共康,83.0,72
703914031,如一鸡鲍鱼·粤式煲汤（南翔印象城店）,5.0,海鲜火锅,南翔,123.0,46
746032160,金牛白羊潮汕鲜牛肉火锅（新环广场店）,5.0,潮汕牛肉火锅,新场,96.0,59
1686874398,七欣天（浦东金高路店）,5.0,海鲜火锅,高行,125.0,237
1501751856,七欣天（惠南乐购店）,5.0,海鲜火锅,惠南镇,101.0,290
1356244883,七欣天（闵行休闲广场店）,5.0,海鲜火锅,莲花路/南方商城,135.0,294
1421515379,京悦南门涮羊肉（徐家汇店）,5.0,老北京火锅,徐家汇,126.0,94
1883478257,七欣天（奉贤金汇天街店）,5.0,海鲜火锅,金汇镇,113.0,292
1314749910,汤伯府·骨汤猪肚鸡火锅（周浦万达店）,5.0,猪肚鸡火锅,康桥/周浦,108.0,47
1455317314,七欣天（闵行满天星广场店）,5.0,海鲜火锅,老闵行/交大师大,99.0,531
1828570773,七欣天（闵行虹桥天街店）,5.0,海鲜火锅,虹桥枢纽,153.0,184
1048000862,七欣天（盈嘉广场店）,5.0,海鲜火锅,丰庄,145.0,55
860850704,品虾汇•龙虾川菜•烧烤夜宵（宝山月浦店）,5.0,小龙虾,月浦镇,85.0,51
766558210,七欣天（松江明中广场店）,5.0,海鲜火锅,新桥,128.0,434
929543304,七欣天（松江九亭店）,5.0,海鲜火锅,九亭,127.0,237
632702283,吴老幺火锅（卫清西路店）,5.0,四川火锅,金山卫,70.0,200
1897484592,七欣天（曹路宝龙店）,5.0,海鲜火锅,曹路,158.0,215
