id,title,avgscore,backCateName,areaname,avgprice,comments
446160,全季酒店(上海徐家汇店),5.0,高档型,徐家汇,675.0,802
446331,沪华国际大酒店(交大鹤庆路店),5.0,高档型,老闵行/交大师大,370.0,1813
447823,驿馨电竞酒店(锦秋路上海大学地铁站店),5.0,经济酒店,上海大学,309.0,963
477638,维也纳国际酒店·上海虹桥机场南方商城九星店,5.0,高档型,万源城/东兰路,336.0,1378
1415026,白玉兰上海新天地酒店,5.0,高档型,打浦桥/田子坊,513.0,1345
1516485,和颐至尊酒店(上海徐汇店),5.0,高档型,漕河泾/田林,474.0,1928
1554556,麦新格精品酒店(上海陆家嘴东方明珠店),5.0,高档型,陆家嘴,830.0,650
1599303,芭比伦电竞酒店(友谊路店),5.0,经济酒店,月浦镇,403.0,2965
2386055,维也纳酒店(上海浦东机场新国际博览中心店),5.0,高档型,迪士尼,421.0,4565
2398656,全季酒店(上海静安寺康定路店),5.0,高档型,同乐坊/江宁路,783.0,721
2398657,全季酒店(上海虹桥虹许路店),5.0,高档型,虹桥/古北,363.0,328
2398681,汉庭(上海八佰伴浦电路地铁站店),5.0,经济酒店,八佰伴,440.0,640
2427193,沪华酒店(交大江川路地铁站店),5.0,舒适型,老闵行/交大师大,398.0,1652
2453027,维也纳3好酒店(上海世博三林店),5.0,高档型,世博园,292.0,4413
2635444,上海万姓精品酒店,5.0,经济酒店,南翔,143.0,1299
3292087,桔子酒店(上海徐家汇漕宝路地铁站店),5.0,高档型,漕河泾/田林,440.0,254
4486686,青季酒店(上海虹桥吴中路店),5.0,经济酒店,虹桥/古北,228.0,4803
4622392,沪华国际大酒店(华师大吴泾店),5.0,高档型,吴泾镇,397.0,654
4685357,上海共康智选假日酒店,5.0,高档型,庙行/共康,439.0,1017
4693916,格林豪泰快捷酒店(上海嘉定区安亭汽车城店),5.0,经济酒店,安亭镇,199.0,1228
4752365,维也纳国际酒店·上海野生动物园浦东机场店,5.0,高档型,惠南镇,438.0,1927
5096724,汉庭(上海国际旅游度假区店),5.0,经济酒店,迪士尼,360.0,2469
5138411,维也纳国际酒店·上海新国际博览中心周浦地铁站万达店,5.0,高档型,迪士尼,338.0,4815
5268272,麦新格国际酒店(上海迪士尼店),5.0,高档型,迪士尼,663.0,3354
5412802,轻住·升源优品酒店(上海环球港店),5.0,经济酒店,长风公园/华师大,179.0,3143
5834166,全季酒店(上海延安路店),5.0,高档型,中山公园/江苏路,509.0,1514
6380982,何遇酒店(上海浦东川沙地铁站店),5.0,经济酒店,迪士尼,279.0,7042
6563890,汉庭(上海大宁音乐广场新店),5.0,经济酒店,中山北路/甘泉地区,330.0,1008
6566525,如家酒店·neo(上海浦东机场惠南地铁站通济路店),5.0,经济酒店,惠南镇,279.0,1301
6587710,格林豪泰商务酒店(上海漕河泾开发区松江临港科技城九新路店),5.0,经济酒店,新桥,227.0,1669
6649205,维也纳酒店(上海浦东机场店),5.0,高档型,浦东机场/机场镇,350.0,3175
6717399,维也纳国际酒店·上海新国际博览中心康桥地铁站店,5.0,高档型,迪士尼,356.0,3605
6937841,维也纳国际酒店·上海虹桥机场九亭店,5.0,高档型,九亭,369.0,4576
40490019,麦新格精品酒店(上海浦东机场川沙迪士尼店),5.0,高档型,迪士尼,503.0,1636
42410821,锦江都城经典酒店(上海南京路步行街店)(原南京饭店),5.0,高档型,人民广场/南京路,1550.0,846
50002770,和颐酒店(上海国际旅游度假区秀浦路地铁站店),5.0,高档型,迪士尼,309.0,1115
51450087,如家酒店(上海浦东国际旅游度假区秀沿路地铁站店),5.0,经济酒店,迪士尼,259.0,4212
60370039,全季酒店(上海奉贤南桥汽车站店),5.0,高档型,南桥,389.0,1018
62048065,维也纳国际酒店(上海松江开发区体育中心地铁站店),5.0,高档型,松江区,378.0,1937
69056206,维也纳酒店(上海松江万达店),5.0,高档型,松江大学城,339.0,880
70752807,维也纳国际酒店·上海虹桥机场国展中心纪翟路店,5.0,高档型,虹桥火车站/国展中心,340.0,2934
80898902,全季酒店(上海虹桥枢纽临空园区店),5.0,高档型,北新泾/淞虹路,401.0,227
85483194,全季酒店(上海江桥万达广场店),5.0,高档型,江桥,391.0,756
86459229,维也纳国际酒店·上海交大沪闵路店,5.0,高档型,老闵行/交大师大,328.0,2379
88775090,维也纳国际酒店·上海宝山国际邮轮码头盘古路店,5.0,高档型,月浦镇,407.0,1975
89653086,全季酒店(上海虹桥古北路店),5.0,高档型,虹桥/古北,426.0,369
90154874,景莱酒店(嘉定上海大学店),5.0,经济酒店,嘉定镇,290.0,2188
91880982,全季酒店(上海光大柳州路店),5.0,高档型,漕河泾/田林,455.0,735
91887281,维也纳国际酒店·上海虹桥枢纽嘉定马陆地铁站店,5.0,高档型,马陆镇,312.0,2089
93395573,江佳时尚酒店,5.0,经济酒店,江桥,225.0,1026
93923642,全季酒店(上海外滩南京东路步行街店),5.0,高档型,人民广场/南京路,686.0,835
94806129,全季酒店(上海张江店),5.0,高档型,张江,358.0,1197
97463348,丽致酒店(上海周浦沈梅路地铁站店),5.0,舒适型,迪士尼,369.0,7173
97536270,维也纳国际酒店·上海奉贤南桥店,5.0,高档型,南桥,300.0,2569
98298563,维也纳国际酒店·上海浦东机场高科东路店,5.0,高档型,迪士尼,408.0,4272
98798557,麦新格精品酒店(上海外高桥自贸区店),5.0,高档型,外高桥,333.0,1489
98985653,尼雅假日公馆酒店(迪士尼店),5.0,经济酒店,迪士尼,250.0,1972
99586283,和颐至尊酒店(上海中山公园店),5.0,高档型,中山公园/江苏路,498.0,2127
99659725,维也纳国际酒店·上海虹桥国展中心南翔店,5.0,高档型,南翔,340.0,1571
102971153,维也纳国际酒店·上海国际旅游度假区浦东机场店,5.0,高档型,浦东机场/机场镇,433.0,6858
103214679,黄楼驿栈(上海迪士尼店),5.0,舒适型,迪士尼,258.0,1375
104402669,维也纳酒店(上海新国际博览中心小上海步行街店),5.0,高档型,迪士尼,291.0,1614
106200767,维也纳酒店(上海虹桥国展中心华新店),5.0,高档型,华新镇,286.0,1076
107326801,全季酒店(上海长寿路店),5.0,高档型,长寿路,538.0,717
109238342,维也纳酒店(上海野生动物园地铁站店),5.0,高档型,迪士尼,411.0,3828
111801928,全季酒店(上海青浦吾悦广场店),5.0,高档型,青浦城区,334.0,872
111925227,维也纳酒店(上海金山万达广场店),5.0,高档型,万达广场,246.0,1708
111948377,维也纳酒店(上海浦东机场南祝路店),5.0,高档型,迪士尼,300.0,9279
116787962,维也纳国际酒店·上海外高桥自贸区杨高北路店,5.0,高档型,高行,354.0,2538
123217650,青青客舍(上海迪士尼店),5.0,经济酒店,迪士尼,548.0,360
129588205,1685花园民宿(上海迪士尼店),5.0,经济酒店,迪士尼,296.0,1045
133265702,全季酒店(上海虹桥国展中心徐泾店),5.0,高档型,虹桥枢纽周边区,358.0,1229
150038603,维也纳酒店(上海美兰湖地铁站店),5.0,高档型,美兰湖,309.0,1250
150542627,维纳斯国际酒店(上海国际旅游度假区申江南路店),5.0,高档型,迪士尼,577.0,810
150562107,上海玖月民宿(迪士尼店),5.0,经济酒店,迪士尼,356.0,1024
152538067,云和夜泊酒店(国际旅游度假区野生动物园店),5.0,高档型,迪士尼,1014.0,4506
156589625,维也纳国际酒店(上海虹桥机场会展中心华徐公路店),5.0,高档型,虹桥枢纽周边区,328.0,2224
157069020,汉庭(上海安亭汽车城店),5.0,经济酒店,安亭镇,234.0,367
157228026,维也纳国际酒店·上海金山朱泾店,5.0,高档型,朱泾镇,532.0,1390
157329792,汉庭(上海真金路店),5.0,经济酒店,大华地区,340.0,486
157364344,东尚青年旅舍(上海体育场店),5.0,经济酒店,万体馆,127.0,1413
159011501,万信酒店(上海迪士尼周浦万达店),5.0,高档型,迪士尼,543.0,7001
159025447,一间森林青年旅舍(上海同济大学四平路地铁站店),5.0,经济酒店,临平路/和平公园,178.0,1249
159222702,燕语星苑精品民宿(上海迪士尼店),5.0,经济酒店,迪士尼,7141.0,1408
159429269,等逅轻奢酒店(上海世博宝丰店),5.0,舒适型,世博园,538.0,2829
159443468,喆·啡酒店(上海金山城市沙滩百联购物中心店),5.0,高档型,卫清路,218.0,1471
159574598,景莱酒店(上海外滩南京路步行街店),5.0,经济酒店,人民广场/南京路,699.0,3011
159606373,如家商旅酒店(上海临港海洋公园滴水湖店),5.0,高档型,滴水湖临港地区,428.0,1540
159683175,尚客优精选酒店(上海金山万达广场店),5.0,经济酒店,金山卫,176.0,1651
160462979,维也纳国际酒店·上海虹桥国展中心新桥店,5.0,高档型,新桥,312.0,942
160762213,全季酒店(上海黄浦滨江西藏南路店),5.0,高档型,西藏南路/世博会馆,567.0,465
160799274,上海时生隅精品民宿(迪士尼一店),5.0,经济酒店,迪士尼,350.0,970
161889310,康铂酒店(上海火车站人民广场店),5.0,高档型,南京西路,475.0,762
162677169,全季酒店(上海宝山吴淞国际邮轮码头店),5.0,高档型,淞南,352.0,549
162809171,维也纳酒店(上海松江万达广富林路店),5.0,高档型,洞泾,416.0,2039
162976459,麗枫酒店(上海嘉定新成体育馆店),5.0,高档型,嘉定镇,321.0,2696
163536466,维也纳国际酒店·上海浦东新国际博览中心店,5.0,高档型,北蔡,350.0,2261
163562536,香缘居精品民宿(上海迪士尼店),5.0,经济酒店,迪士尼,408.0,646
163941454,美时·海派风情酒店(上海国际旅游度假区店),5.0,高档型,迪士尼,659.0,3113
164190846,友迎客栈(迪士尼店),5.0,经济酒店,迪士尼,2841.0,294
164328693,宜必思酒店(上海黄兴路地铁站店),5.0,舒适型,控江地区,352.0,513
164434040,上海临港嬉帝酒店,5.0,高档型,滴水湖临港地区,432.0,941
164489134,维也纳酒店(上海崇明长兴岛店),5.0,高档型,长兴岛,373.0,880
164751582,维也纳国际酒店·上海滴水湖临港万达店,5.0,高档型,滴水湖临港地区,365.0,1778
165190126,维也纳酒店(上海嘉定远香湖保利大剧院店),5.0,高档型,嘉定镇,309.0,1440
165249563,维也纳国际酒店·上海虹桥枢纽青浦地铁站店,5.0,高档型,青浦城区,302.0,3814
165404632,香樟小院民宿(上海迪士尼店),5.0,经济酒店,迪士尼,5455.0,1156
