id,title,avgscore,backCateName,areaname,avgprice,comments
1310726657,阳坊胜利涮羊肉（昌平悦荟店）,5.0,老北京火锅,昌平镇,100.0,476
815258948,阳坊胜利涮羊肉（海淀悦界店）,5.0,老北京火锅,上庄,111.0,231
620934924,重八牛府（熙悦天街店）,5.0,重庆火锅,良乡,98.0,1750
1993047324,潮荟·潮汕牛肉火锅（台湾街店）,5.0,潮汕牛肉火锅,鲁谷,100.0,209
1920322644,花禾牛·港式火锅（西单老佛爷店）,4.9,港式火锅,西单,178.0,80
79595995,重庆棒棒军·手作火锅（北京店）,5.0,重庆火锅,高碑店,100.0,1406
1828292852,楠火锅（长安天街店）,5.0,重庆火锅,门头沟城区,134.0,95
1738259319,瓜娃子老火锅（TBD万科店）,5.0,重庆火锅,沙河,102.0,92
654297107,月亮狮家的火锅（复兴门店）,5.0,重庆火锅,复兴门,78.0,830
1588723589,老墙根涮肉·铜锅鲜羊肉（怡海花园店）,5.0,老北京火锅,总部基地,101.0,232
669145126,鑫隆四季涮肉·羊蝎子•烧烤（时代广场店）,5.0,老北京火锅,龙湖天街购物中心,77.0,949
196004811,呷哺呷哺（次渠万鑫汇店）,5.0,小火锅,次渠,71.0,1488
186493030,老墙根涮肉·铜锅鲜羊肉（良乡店）,5.0,老北京火锅,良乡,98.0,197
1792747452,功夫潮牛潮汕牛肉火锅（黄寺大街店）,5.0,潮汕牛肉火锅,德外大街,100.0,349
316124,呷哺呷哺（丰体物美店）,5.0,小火锅,北大地/万丰路,68.0,2102
192502102,左亭右院火锅鸡,5.0,火锅,昌平镇,57.0,664
670873613,楠火锅（大兴荟聚店）,5.0,重庆火锅,西红门,141.0,31
770324381,扑贝卜卜贝火锅（房山天街店）,5.0,海鲜火锅,良乡,96.0,112
1167463296,呷哺呷哺（平谷和美店）,5.0,小火锅,平谷城区,61.0,848
95774491,呷哺呷哺（合生世界村永辉店）,5.0,小火锅,通州区,59.0,1206
193939229,呷哺呷哺（东升科技园店）,5.0,小火锅,清河,63.0,308
1913474879,七味姑娘旋转小火锅（立水桥店）,5.0,小火锅,天通苑,39.0,518
1495736658,京门老爆三（鹿海园店）,5.0,老北京火锅,亦庄,94.0,1083
51782862,呷哺呷哺（旧宫物美店）,5.0,小火锅,旧宫,62.0,1568
1049365662,福华肥牛（门头沟店）,5.0,牛羊肉火锅,门头沟城区,89.0,109
1556349693,四合居老北平涮肉坊（青春路店）,5.0,老北京火锅,怀柔城区,75.0,574
192748368,四合居老北平涮肉坊（大槐树店）,5.0,老北京火锅,怀柔电影旅游拍摄基地,67.0,624
1007588263,水煮三国（新世界百货2期店）,5.0,川菜,崇文门,47.0,986
895813443,巴图锡盟羊肉铜锅涮（昌平店）,5.0,老北京火锅,昌平镇,79.0,238
1317716816,鸡公虾婆秘制干锅·锦州烧烤（马驹桥商业街店）,5.0,虾蟹火锅,马驹桥,47.0,690
1962538333,牧仁额吉传统涮,5.0,老北京火锅,北七家,104.0,85
683324279,小跑羊铜锅涮肉（环球影城店）,5.0,老北京火锅,土桥,73.0,256
528762567,呷哺呷哺（毕淘买生活广场店）,5.0,小火锅,酒仙桥,64.0,561
704879817,巴蜀王婆大虾（延庆店）,5.0,虾蟹火锅,延庆城区,79.0,46
1010355524,阳坊胜利涮羊肉（西长安中骏世界城店）,5.0,老北京火锅,门头沟城区,114.0,27
744331628,槐店王婆大虾（青春路店）,5.0,虾蟹火锅,怀柔城区,90.0,189
1992911892,松野谷•日式涮涮锅（华联顺义金街购物中心店）,5.0,日式火锅,顺义城区,199.0,77
1794037922,井格重庆火锅（大兴大悦春风里店）,5.0,重庆火锅,黄村,91.0,72
1494100173,福清园铜锅涮肉（宋庄店）,5.0,老北京火锅,宋庄,77.0,273
982078091,辣小竹串铺火锅·露营主题（某一村店）,5.0,川味火锅,孙河,101.0,39
1980704861,八次方巴乡石锅鱼·金海湖水库活鱼（谷丰东路店）,5.0,鱼火锅,平谷城区,62.0,97
1784046963,左庭右院鲜牛肉火锅（龙湖大兴天街店）,5.0,潮汕牛肉火锅,龙湖天街购物中心,143.0,12
1444398242,东南西铜锅涮肉烧烤,5.0,老北京火锅,土桥,89.0,68
1841075759,楊門涮肉,5.0,老北京火锅,马驹桥,72.0,110
839722140,聚福源四季涮肉,5.0,老北京火锅,小汤山镇,64.0,155
1395300631,鸿姐老火锅（慈云寺店）,5.0,重庆火锅,慈云寺/八里庄,137.0,8
1837150113,见牛羊传统涮（吕家营店）,5.0,牛羊肉火锅,十里河,76.0,176
826719645,前门盛世烤鸭·京城壹号涮肉（前门大街店）,5.0,烤鸭,前门/大栅栏,94.0,85
1930108803,凡庭轩·牛腩火锅·蔬菜自助（物资学院店）,5.0,四川火锅,物资学院,66.0,273
781704952,南街大排档（太和大厦店）,5.0,港式火锅,城关街道,69.0,65
1337852432,七味姑娘旋转小火锅（朱辛庄TBD店）,4.9,自助小火锅,回龙观,39.0,599
1212800238,新京熹·北京涮肉（五棵松华熙店）,5.0,老北京火锅,五棵松,257.0,7
1751194995,正忠砂锅炖,4.9,东北菜,怀柔城区,50.0,117
1012060503,鸿姐老火锅（五道口店）,5.0,重庆火锅,五道口,143.0,9
637648553,三江两海老火锅,5.0,重庆火锅,三里屯/工体,0.0,21
943560476,运京熹·新派火锅（通州店）,4.9,海鲜火锅,武夷花园,141.0,41
956682536,巡京記老北京铜锅涮肉,5.0,老北京火锅,黄村,87.0,29
1884537424,刘国街边串串（地安门店）,5.0,串串香,地安门,14.0,49
1795247935,527金沙家宴•烧烤•成都火锅（万霖科技大厦店）,5.0,四川火锅,上地,97.0,46
502139834,吒仔广东鸡煲火锅（永旺梦乐城店）,5.0,港式火锅,世界公园,74.0,37
1209222874,胡同涮肉·福寿居,5.0,老北京火锅,怀柔电影旅游拍摄基地,52.0,154
1991288747,京巷火锅,5.0,海鲜火锅,新华大街,0.0,32
857171534,滕记小炭炉,5.0,港式火锅,燕山,59.0,92
1152634265,一品焖锅（沙河店）,5.0,焖锅,沙河,68.0,65
1105536151,巴郡侯肥肠鱼（青年路店）,4.9,鱼火锅,朝阳大悦城,67.0,69
1158555521,麻吖辣吖·清油火锅（中山街店）,5.0,火锅,通州北苑,64.0,112
1089370499,鱼餐厅（金海湖店）,5.0,鱼火锅,金海湖,77.0,86
664993902,刘文祥麻辣烫（丰台科技园店）,5.0,麻辣烫,总部基地,21.0,116
1154071594,京亿嘉羊蝎子火锅（望京店）,5.0,羊蝎子火锅,望京,89.0,28
1797067832,老成一锅（樱花庄六区店）,5.0,羊蝎子火锅,首都机场T3航站楼,76.0,139
1644405893,百花园涮肉,5.0,老北京火锅,沙河,66.0,89
875363722,广仔阿福鸡煲（银座和谐广场店）,5.0,港式火锅,六里桥/丽泽桥,97.0,11
990524758,愚掌门河鲜鱼火锅·鱼掌门（宋庄店）,5.0,鱼火锅,通州区,118.0,7
1965431298,燚合里地摊麻辣烫·炸串,5.0,串串香,广渠门内,29.0,15
1412111913,签牛签王串串香火锅（西红门店）,5.0,串串香,西红门,80.0,17
1595904510,汤渔饭后青花椒跳水鱼•烤鱼,5.0,鱼火锅,苹果园,64.0,47
1022480823,曹丞相·地锅鸡·地锅鱼（双桥东路店）,5.0,本地鸡窝火锅,管庄,59.0,72
1223051551,椒堂火锅（六里桥店）,5.0,重庆火锅,北京西站/六里桥,104.0,18
1544050007,辣小九·巴蜀石锅鱼鲜毛肚火锅·金海湖水库活鱼,5.0,鱼火锅,平谷区,72.0,15
875216213,虾舵爷·王婆大虾（良乡店）,5.0,虾蟹火锅,良乡,58.0,144
1090132276,开往春天的列车主题餐厅,5.0,羊蝎子火锅,八达岭,65.0,165
669281811,K泰星空帐篷餐厅·港式花胶鸡火锅（大兴店）,5.0,港式火锅,黄村,176.0,33
1966951466,故乡人铁锅炖（机场公寓店）,5.0,东北菜,首都机场T3航站楼,58.0,133
835697095,玉林串串香（昌平店）,5.0,串串香,昌平镇,0.0,25
1397046569,厂长火锅·打边炉羊蝎子·小野串烧烤,5.0,老北京火锅,南彩镇,64.0,51
1903871517,锅锅香砂锅炖肉煲（中国煤地大厦店）,5.0,砂锅火锅,北京西站/军博,50.0,61
1815779058,文姬小馆,5.0,羊蝎子火锅,门头沟城区,78.0,90
909405664,如意轩豆捞,5.0,澳门豆捞,昌平镇,234.0,10
565257347,佰家坊灶台鱼,5.0,农家菜,密云水库,98.0,27
1156950828,京韵南门（蒲黄榆店）,5.0,老北京火锅,方庄/蒲黄榆,97.0,46
1527865810,张振羊棒骨,5.0,羊蝎子火锅,良乡,58.0,69
1076352969,六味小馆韩国料理（大学城店）,5.0,韩国菜,良乡,36.0,35
1901014691,太公坊鱼锅（通州店）,5.0,鱼火锅,武夷花园,73.0,31
931624147,领域火锅鸡,5.0,炭火锅/铜锅,沙河,60.0,30
572271220,鼎春德王婆大虾（昌平店）,5.0,海鲜火锅,昌平镇,59.0,168
1157100900,川说火锅（总部基地店）,5.0,四川火锅,世界公园,70.0,17
1334193590,爱尚川渝小火锅,5.0,小火锅,亦庄,32.0,107
1681711320,313羊庄（光明楼店）,5.0,牛羊肉火锅,光明楼/龙潭湖,0.0,17
1779922148,云蒙源冰煮羊火锅烧烤,5.0,牛羊肉火锅,亦庄,94.0,28
1650114191,梨园虾湟（and淘宝城店）,5.0,湖北菜,梨园,51.0,65
1236157680,四合居老北平涮肉坊（迎宾路店）,5.0,老北京火锅,商业街,0.0,28
991687473,品悦海 海鲜姿造火锅（环球影城店）,5.0,海鲜火锅,梨园,380.0,11
981593538,蜀肠缘江油肥肠火锅,5.0,四川火锅,北苑家园,80.0,29
1397536141,阳坊大都涮羊肉（八达岭店）,5.0,老北京火锅,八达岭,87.0,137
918551418,京门老爆三（回龙观店）,5.0,老北京火锅,回龙观,82.0,10
186886224,牛之味,5.0,牛羊肉火锅,回龙观,90.0,48
1505983282,美锦酒家（车公庄店）,5.0,官府菜,西直门/动物园,870.0,9
1922741713,林丰美蛙·靓虾·鱼道,5.0,鱼火锅,宋庄,75.0,20
161879054,顺手捞铜锅涮肉羊蝎子（顺密路店）,5.0,老北京火锅,顺义区,66.0,43
1688381580,壹三壹四脏摊麻辣串,5.0,串串香,梨园,25.0,28
654580650,小木船潮汕牛肉火锅（西三旗万象汇店）,5.0,潮汕牛肉火锅,西三旗,147.0,11
1841551653,红井路游艺炖锅（十渡店）,5.0,农家菜,十渡镇,0.0,28
892431905,三结义·牛排炭火锅（温泉尚品园店）,5.0,炭火锅/铜锅,海淀区,52.0,36
124617350,李庄小院灶台鱼,5.0,东北菜,南口镇,58.0,76
1539450077,来个宝沸堂蛙·重庆美蛙火锅（望京店）,5.0,蛙火锅,望京,90.0,16
1081499623,城一锅·新派自助羊蝎子（环球影城店）,5.0,羊蝎子火锅,梨园,60.0,42
688261705,小老板羊棒骨羊蝎子烧烤（三环新城店）,5.0,羊蝎子火锅,夏家胡同/纪家庙,89.0,20
1680534078,鱼虾斗宴•香辣虾•秘制烤鱼•特色火锅,5.0,烤鱼,次渠,64.0,20
1776696516,羊蝎府 羊蝎子涮肉（金汉店）,5.0,羊蝎子火锅,顺义城区,81.0,46
1114556386,天赐灶台鱼（十三陵店）,5.0,鱼火锅,十三陵水库,80.0,38
1331508003,李遂阳坊涮肉,5.0,老北京火锅,南彩镇,72.0,10
1403998023,車记牛肉面·炖锅,5.0,私房菜,亦庄,69.0,40
1635967578,阳坊胜利涮羊肉（西三旗万象汇店）,5.0,老北京火锅,西三旗,115.0,2
152724641,九万士多港式海鲜粥底火锅（回龙观店）,5.0,港式火锅,回龙观,175.0,9
1462277691,红火火麻辣烫（东一区店）,5.0,串串香,天通苑,0.0,31
1106071826,虾吃虾涮（通州万达店）,5.0,虾蟹火锅,新华大街,50.0,34
1311857283,广仔阿福鸡煲（七里庄店）,5.0,港式火锅,丽泽桥/丰管路,88.0,6
1750514778,绿茵主题夜市烧烤大排档,5.0,烤串,上庄,0.0,13
1002652962,张老三农家地锅鸡铁锅肥肠,5.0,本地鸡窝火锅,通州区,72.0,23
1322154140,京亿嘉羊蝎子火锅（望京二店）,5.0,羊蝎子火锅,望京,96.0,21
1282739574,桃娘下饭小火锅（北苑店）,5.0,快餐简餐,北苑家园,32.0,10
1482630109,陇派王婆大虾（李遂店）,5.0,虾蟹火锅,南彩镇,60.0,51
881508784,謙禧打边炉音乐烤吧,5.0,港式火锅,良乡,117.0,25
538854222,金城居港式打边炉,5.0,港式火锅,北大地/万丰路,117.0,6
532512070,痴毛肚·火锅烤肉自助（大兴龙湖天街店）,5.0,综合自助,龙湖天街购物中心,163.0,4
1433673469,广福居烧腊打边炉,5.0,港式火锅,昌平镇,57.0,33
1183872580,地锅鸡,5.0,焖锅,龙湖天街购物中心,178.0,29
1408567039,霞姐家钵子菜（798店）,4.9,湘菜,酒仙桥,0.0,12
1768898625,39元自助大骨头锅（高丽营商业街店）,5.0,综合自助,顺义区,41.0,39
1801322189,京城花开茶香牛肉火锅,5.0,特色火锅,通州北苑,134.0,8
999222394,天鲜馋客螺蛳粉火锅,5.0,火锅,门头沟城区,65.0,18
538748455,驴肉火烧·驴肉锅（劲松店）,5.0,河北菜,劲松/潘家园,0.0,19
1454160458,沐霖居老北京涮肉烧鸽坊（莲水怡园店）,5.0,老北京火锅,马驹桥,0.0,9
991718750,吉顺兴海鲜姿造火锅,5.0,海鲜火锅,黄村,98.0,5
1998552296,野街麻辣烫（常营店）,5.0,麻辣烫,草房,28.0,5
703136710,辣匠麻辣串（亦庄国融国际店）,5.0,串串香,亦庄,23.0,24
1073663109,京城一品羊蝎子火锅（大红门店）,5.0,羊蝎子火锅,洋桥/木樨园,0.0,13
722949662,逸锅香地锅鸡·铁锅牛杂,5.0,本地鸡窝火锅,新华大街,57.0,6
1486094753,羊柒牛捌·爆炒羊骨（双井百环家园店）,5.0,特色火锅,双井,100.0,6
843595258,憨呼呼重庆火锅（众诚大厦店）,5.0,重庆火锅,云岗,0.0,4
1715472908,鲜悦海鲜火锅,5.0,海鲜火锅,紫竹桥,166.0,3
896774997,嫩牛家潮汕牛肉火锅,5.0,潮汕牛肉火锅,朝阳公园/团结湖,101.0,3
1154704163,鸿林源铜锅涮肉家常菜,5.0,火锅,雁栖开发区,50.0,16
1188915502,福禄铜锅,5.0,蛙火锅,通州区,86.0,3
1855398444,醺季·青年路院子·清真,5.0,私房菜,青年路,472.0,1
1269369908,江城卤侠地摊鱼（良乡旗舰店）,5.0,鱼火锅,良乡,0.0,11
192253685,羴记四季大盘涮肉园（看丹桥店）,5.0,老北京火锅,看丹桥/新华街,104.0,5
1212228895,梧桐季·生蚝鸡煲,4.9,特色火锅,常营,146.0,4
1135797660,粤小味（顺义店）,5.0,港式火锅,顺义区,122.0,3
555608931,常赢三兄弟·清真涮肉（常营三店）,5.0,老北京火锅,常营,125.0,0
615708430,酌院儿·烧烤海鲜·宫廷火锅羊蝎子（卧龙公园店）,5.0,烤串,顺义城区,0.0,4
1471371020,京门老爆三（亦庄三羊广场店）,5.0,老北京火锅,亦庄,94.0,6
562616355,唐诗楼（达美店）,5.0,汤锅,青年路,0.0,2
923056898,麻辣武师兄（朝阳大悦城店）,5.0,串串香,青年路,27.0,3
1422979708,华福纪港式火锅（丽都店）,5.0,港式火锅,酒仙桥,128.0,1
